,core_capital,supplementary_capital,price,number_of_shares,capitalization,core_capital_per_share,supplementary_capital_per_share
INTER-CARS,28336.0,2361841.0,564.0,14168100,7990808400,0.0019999858837811703,0.1667013219838934
CAV,330538.0,90395.0,19.0,25426034,483094646,0.012999982616242864,0.0035552143130147627
CCC,5500.0,1148000.0,35.72,54868000,1959884960,0.00010024057738572574,0.020922942334329665
CLEAN-CARBON-ENERGY,68560.0,0.0,0.39,34280000,13369200,0.002,0.0
CDL,3027.0,88061.0,18.700000033033042,6054544,113219973,0.0004999550750642823,0.014544613103810956
CD-PROJEKT,100739.0,1530035.0,114.06,100770800,11493917448,0.0009996844323950985,0.015183316992620878
CEZ,10447766.0,0.0,205.20000000037174,537989759,110395498547,0.019420009071213565,0.0
CFI-HOLDING,852771.0,0.0,0.22400000014540827,2750874900,616195978,0.00030999992038896425,0.0
CIECH,287614.0,470846.0,55.0,52699909,2898494995,0.005457580581401004,0.008934474630686744
CI-GAMES,1829.0,78653.0,3.330000000273309,182943015,609200240,9.997648721379169e-06,0.00042993169211735143
CLOUD-TECHNOLOGIES,500.0,33979.0,45.2,5000000,226000000,0.0001,0.0067958
COAL-ENERGY,1712.0,295068.0,1.3419999991113307,45011120,60404923,3.8035045562074436e-05,0.00655544674293819
CLNPHARMA,5104.0,587104.0,14.98,51035000,764504300,0.00010000979719800138,0.011503948270794553
COMP,14026.0,290516.0,49.60000003564714,5610548,278283181,0.0024999340527877135,0.051780325201745
COMARCH,8133.0,143041.0,132.60001003276756,8133349,1078482159,0.0009999570902465885,0.017586974320172415
CENTRUM-NOWOCZESNYCH-TECHNOLOGII,29600.0,0.0,14.25000003628376,6890135,98184424,0.004295997103104656,0.0
COGNOR,257131.0,351548.0,10.140000001050048,171420663,1738205523,0.0015000000320848136,0.002050791274795151
CAPITAL-PARTNERS,1000.0,0.0,1.07,10000000,10700000,0.0001,0.0
CPD,897.0,0.0,7.1000000557650775,8966185,63659914,0.00010004254875401299,0.0
CAPITAL-PARK,108334.0,826398.0,8.959999999261543,108333998,970672622,0.0010000000184614251,0.007628242428567992
COMPERIA-PL,354.0,11266.0,8.700000028252203,3539547,30794059,0.00010001279824791138,0.0031828931781383322
CPR,44837.0,161244.0,2.620000004906687,44836769,117472335,0.0010000051520215473,0.003596244858767589
CYFROWY-POLSAT,25600.0,7174000.0,15.800000000312721,639546016,10104827053,4.002839414138419e-05,0.011217332014464461
CRI,198.0,56362.0,148.0,1982790,293452920,9.985928918342336e-05,0.02842560230785913
CRJ,679.0,3426.0,845.0,679436,574123420,0.0009993582912886571,0.005042417534543356
CORMAY,84205.0,92811.0,0.7629999987649191,84205008,64248421,0.0009999999049937743,0.0011022028523529146
CASPAR-ASSET-MANAGEMENT,1972.0,17338.0,13.500000050700349,9861865,133135178,0.00019996217753944108,0.0017580853114497106
CTS,44474.0,98802.0,5.8,31610000,183338000,0.001406959822840873,0.0031256564378361277
