,capitalization,core_capital,number_of_shares,price,supplementary_capital,core_capital_per_share,supplementary_capital_per_share,small_pred,large_pred
EKO-EXPORT,20513317,1315,13149562,"1,56000002129348",33716,"0,0001000033309094","0,0025640397756214","0,108488604","0,10829493"
OCTAVA,43214716,4279,42786848,"1,0099999887816",22113,"0,0001000073667497","0,0005168176912681","0,08930559","0,12478633"
SIM,25250000,625,6250000,"4,04",1090,"0,0001","0,0001744","0,18473801","0,026019353"
VIVID-GAMES,29702908,3229,32285770,"0,919999987610641",3406,"0,0001000131017473","0,0001054953931716","0,0964326","0,11320472"
VOXEL,430606600,10503,10502600,41,88861,"0,0010000380858073","0,0084608573115228","0,10368343","0,1053824"
SOLAR-COMPANY,12900000,30000,3000000,"4,3",142317,"0,01","0,047439","0,10575324","0,102136016"
GOBARTO,227961878,278002,27800229,"8,20000000719419",0,"0,0099999895684312",0,"0,09690002","0,10779019"
CAPITAL-PARTNERS,10700000,1000,10000000,"1,07",0,"0,0001",0,"0,10517367","0,09833547"
ATM-GRUPA,268917000,8430,84300000,"3,19",178343,"0,0001","0,0021155753262158","0,11134015","0,09179389"
UNIBEP,259522692,3507,35070634,"7,40000001140555",63894,"0,0001","0,0018218661230931","0,09843609","0,103589386"
LSI-SOFTWARE,40107373,3261,3260762,"12,3000001226707",8150,"0,0010000729890743","0,0024994157807285","0,1030603","0,095049694"
SUNEX,407859854,16233,20291535,"20,1000000246408",310,"0,0007999887637874","0,0000153","0,068091914","0,12395652"
RAFAMET,57870593,43187,4318701,"13,3999999073796",39039,"0,0099999976844889","0,0090395236901095","0,08618587","0,10054626"
SFINKS,33312245,37941,37941054,"0,87799998914105",1045,"0,0009999985767395","0,0000275","0,08320734","0,10012793"
PAS,52755675,192,2052750,"25,7",1182,"0,0000935","0,0005758129338691","0,105047405","0,07758281"
ASTARTA,592500000,1217,25000000,"23,7",270946,"0,0000487","0,01083784","0,08295267","0,09658102"
IFR,9639000,1899,4050000,"2,38",30180,"0,0004688888888888","0,0074518518518518","0,09596615","0,07952109"
MAKARONY-POLSKIE,114264735,33120,11040071,"10,3500000135869",53521,"0,0029999807066458","0,0048478854891422","0,03856207","0,13670346"
BAHOLDING,21274548,8310,41551852,"0,511999994609145",54661,"0,0001999910858365","0,001315488898064","0,09164133","0,07469943"
HUG,2338688309,10,84246697,"27,7600000033236",1542190,"0,000000119","0,0183056434841593","0,2059343","-0,04367085"
MIRACULUM,51680000,38000,38000000,"1,36",2850,"0,001","0,000075","0,06469486","0,09696963"
MBW,1175893110,720859,111989820,"10,5",334611,"0,0064368261329467","0,0029878697903077","0,08046774","0,0803631"
4FUN-MEDIA,55106506,4239,4238962,13,13390,"0,0010000089644587","0,0031587921760091","0,098486625","0,06186594"
ERG,38194385,17520,876018,"43,6000002283058",11495,"0,01999958904954","0,0131218764911223","-0,0077507705","0,16744007"
STS,8991744,1164,13962336,"0,643999972497439",11954,"0,0000834","0,0008561604591094","0,17633435","-0,01965558"
SKYLINE-INVESTMENT,16744478,23321,23321000,"0,718",20790,"0,001","0,0008914712062089","0,10017374","0,056262862"
INTERSPPL,27577606,3413,34130700,"0,808000011719654",1136,"0,0001","0,0000333","-0,02443904","0,17342989"
ELZAB,30660395,22143,16137050,"1,9",78305,"0,0013721838873895","0,004852497823332","0,030701755","0,11467911"
ELKOP,17590030,78836,46047200,"0,381999991313261",1538,"0,0017120693549227","0,0000334","0,031916212","0,11328508"
MW-TRADE,14090015,255,2552539,"5,5199998903053",24235,"0,0000999","0,0094944680570992","0,06726946","0,07590797"
PBG,16368406,16368,818420313,"0,0199999996823148",1022933,"0,00002","0,0012498871102677","0,23794682","-0,09869115"
RAE,16327324,2954,31765222,"0,513999996600055",481,"0,000093","0,0000151","0,073102795","0,065096386"
POLICE,1452856486,1241758,124175768,"11,7000000032212",0,"0,0100000025769923",0,"0,10575324","0,029603783"
ODLEWNIE-POLSKIE,182595359,30164,20109621,"9,08000001591278",55195,"0,001499978542609","0,0027447061284745","0,0050134817","0,12716596"
NNG,28136443,16748,20097459,"1,40000001990301",29351,"0,0008333391798435","0,0014604333811552","0,02273777","0,10284741"
KGL,73243038,7077,7076622,"10,3500000423931",30071,"0,0010000534153159","0,0042493438253449","0,019003006","0,10643455"
PLAZACNTR,14396766,30331,6855603,"2,09999995624017",1250205,"0,004424264357198","0,182362514282113","0,12213731","0,0030758497"
JWW-INVEST,21120000,1100,11000000,"1,92",29231,"0,0001","0,0026573636363636","0,06726946","0,05657875"
INTER-RAO-LIETUVA,230800000,26677,20000000,"11,54",5441,"0,00133385","0,00027205","0,06992442","0,053005636"
KETY,5153181168,68025,9650152,534,60254,"0,0070491117652861","0,0062438394752745","0,10368343","0,018205363"
ENERGOAPARATURA,36598703,3935,19676722,"1,86000000406572",14263,"0,0001999824970846","0,0007248666724061","0,10629241","0,014969424"
IZOLACJA-JAROCIN,13072000,798,3800000,"3,44",13765,"0,00021","0,0036223684210526","0,051709145","0,06800715"
GRODNO,204578751,1538,15381861,"13,2999999804965",16396,"0,0001","0,0010659308389277","0,06116817","0,05808226"
APS-ENERGIA,98085519,5637,28185494,"3,47999999574249",9828,"0,0001999964946507","0,0003486900034464","0,05384418","0,064826496"
IMS,84933446,622,32294086,"2,62999999442622",19667,"0,0000193","0,0006089969538075","0,05867107","0,057574026"
TORPOL,480073000,4594,22970000,"20,9",54617,"0,0002","0,0023777535916412","0,112198636","0,003986202"
FERRUM,202690198,178946,57911485,"3,50000000863387",34141,"0,0030899915621227","0,000589537636619","0,05867107","0,053807177"
ATLANTA-POLAND,53608755,6092,6091904,"8,79999996716954",58085,"0,0010000157586199","0,0095347858403546","0,0856238","0,019647824"
INDUSTRIAL-MILK-COMPANY,553807238,307,35500464,"15,5999999887325",351442,"0,00000865","0,0098996452553408","0,084678635","0,005463704"
ZAMET-INDUSTRY,129222400,74144,105920000,"1,22",33101,"0,0007","0,0003125094410876","0,075644314","0,005888117"
COGNOR,1738205523,257131,171420663,"10,14000000105",351548,"0,0015000000320848","0,0020507912747951","-0,026248071","0,10763175"
EFEKT,34468605,4995,4995450,"6,9",0,"0,0009999099180254",0,"0,12553573","-0,046527907"
MBR,1088994350,35129,3512885,310,47084,"0,010000042699946","0,0134032284005881","0,015440741","0,062145613"
ARCTIC-PAPER,1486222945,69288,69287783,"21,4499999949486",407976,"0,0010000031318652","0,0058881375956277","0,04545858","0,028960535"
GOP,73140158,550,5499260,"13,3",5071,"0,0001000134563559","0,0009221240676018","0,06726946","0,005463704"
PROJPRZEM,96321728,5983,5982716,"16,1000000668593",57733,"0,0010000474700788","0,0096499649991742","0,016947975","0,053881686"
PATENTUS,43955000,11800,29500000,"1,49",6448,"0,0004","0,0002185762711864","-0,067563966","0,13460195"
MOSTOSTAL-ZABRZE,180447951,149131,74565269,"2,42000000026822",0,"0,002000006195914",0,"0,0687767","-0,0019935688"
LKD,270000000,3600,18000000,15,122370,"0,0002","0,0067983333333333","0,048525553","0,014815975"
ELEKTROTIM,93840285,9983,9983009,"9,40000004006808",43440,"0,0009999990984682","0,0043513934526153","0,06726946","-0,0062091486"
PGE,13498177372,19184000,2243712994,"6,01600000004279",25049000,"0,0085501131612201","0,0111640838498437","-0,0041884524","0,06362685"
HELIO,59500000,2500,5000000,"11,9",100033,"0,0005","0,0200066","0,06880632","-0,009656819"
GLOBAL-COSMED,179044237,87339,87338652,"2,05000000457987",89720,"0,0010000039844901","0,0010272656830105","-0,011115761","0,068616845"
VINDEXUS,74178000,1170,11700000,"6,34",7302,"0,0001","0,0006241025641025","0,07608028","-0,022639219"
ZYWIEC,4940513097,25678,10271337,481,113654,"0,0024999666547792","0,0110651612346085","0,01480511","0,038050223"
JSW-JASTRZEBSKA-SPOLKA-WEGLOWA,5337531154,1251900,117411596,"45,4599999986373",905000,"0,0106624902705521","0,0077079269069811","-0,05917533","0,11126499"
SEKO,45220000,665,6650000,"6,8",73849,"0,0001","0,0111051127819548","0,05165376","-0,00000175"
SEN,522422614,1766997,114066073,"4,57999999701927",112497,"0,0154909952935786","0,0009862441744619","0,048136074","-0,007851403"
TRAKCJA,517461601,269161,336450976,"1,53799999973845",198139,"0,0008000006515065","0,0005889089767419","-0,015363946","0,054473888"
ARTIFEX,139194900,119,11897000,"11,7",24331,"0,00001","0,0020451374296041","-0,06876449","0,1070668"
RVU,1336344554,7342,23120148,"57,7999999826991",279063,"0,0003175585208191","0,0120701216964528","-0,011864704","0,04852367"
TESGAS,37341500,11350,11350000,"3,29",62968,"0,001","0,0055478414096916","0,01480511","0,020772649"
PKPCARGO,661950633,2239300,44786917,"14,7799999941947",678000,"0,0499989762635369","0,0151383494425392","-0,07964616","0,11275212"
INTERBUD-LUBLIN,7226480,702,7016000,"1,03",28264,"0,0001000570125427","0,0040285062713797","0,016947975","0,015562733"
GBK,375000000,5000,100000000,"3,75",0,"0,00005",0,"0,022571571","0,009519605"
INSTAL-KRAKOW,228764700,7286,7285500,"31,4",10080,"0,0010000686294694","0,001383570105003","0,016947975","0,00986086"
TAURON,3300050509,8763000,1752549394,"1,88300000005592",3009000,"0,0050001443782417","0,0017169273575407","-0,03904939","0,0650277"
TOW,11237400,1561,1560750,"7,2",30072,"0,0010001601794009","0,0192676597789524","-0,06422214","0,08379252"
SOPHARMA,1644534368,323232,134797899,"12,2000000014837",113905,"0,0023979008752948","0,0008450057519071","0,01480511","-0,00034100257"
APATOR,455753139,3265,32647073,"13,9599999975496",561820,"0,0001000089655816","0,0172088934282102","0,03964288","-0,037058804"
ENT,598241875,17544,17543750,"34,1",117983,"0,001000014250089","0,0067250730317064","0,007287479","-0,006243531"
ASSECO-POLAND,6233322755,83000,83000303,"75,0999999963856",4180100,"0,0009999963494109","0,0503624667490671","-0,078831404","0,0791905"
STALPROFIL,173075000,1750,17500000,"9,89",8000,"0,0001","0,0004571428571428","-0,010259982","0,008041345"
PRI,16523200,3680,3680000,"4,49",25601,"0,001","0,0069567934782608","-0,010675044","0,008328758"
CFI-HOLDING,616195978,852771,2750874900,"0,224000000145408",0,"0,0003099999203889",0,"-0,020977711","0,015577595"
PCF,1116202843,599,30086330,"37,1",121869,"0,0000199","0,0040506435979396","-0,04568142","0,036168866"
RNC,108138000,64560,80700000,"1,34",44285,"0,0008","0,000548760842627","-0,0041884524","-0,008391951"
KREDYT-INKASO,117366012,12897,12897364,"9,09999996898591",91725,"0,0009999717771786","0,0071119183733978","-0,0996519","0,0864031"
IDM,37473878,2271,45422882,"0,825000007705368",0,"0,00005",0,"-0,03814861","0,022692472"
ELEKTROCIEPLOWNIA-BEDZIN,18895200,37728,3149200,6,0,"0,0119801854439222",0,"0,024416512","-0,041736312"
GTC,3537411552,57426,574255122,"6,16000000083587",2997840,"0,0001000008494482","0,0052203974943387","-0,00417571","-0,013590965"
AAT,26874927,15270,15269845,"1,75999998690229",186208,"0,0010000101507251","0,0121944918235908","-0,08138587","0,062160585"
RAWLPLUG,538868000,32560,32560000,"16,55",146674,"0,001","0,0045047297297297","0,10496216","-0,1245498"
STH,2811367846,156535,156534958,"17,9600000020443",0,"0,0010000002683106",0,"-0,03170194","0,011536285"
IPOPEMA,68857023,2994,29937836,"2,30000000668051",10351,"0,0001000072283113","0,0003457497729628","-0,0423127","0,021593127"
IFC,107739599,49296,105111804,"1,02499999904863",1918,"0,0004689863376334","0,0000182","-0,022611158","0,0018815568"
ROPCZYCE,180277459,15649,6259634,"28,7999999680493",39294,"0,0024999864209313","0,0062773638203128","-0,02092659","-0,0003159345"
ENERGA,2815656375,4522000,414067114,"6,79999999951699",1661000,"0,0109209349091171","0,0040114269977982","0,009321275","-0,03420456"
CI-GAMES,609200240,1829,182943015,"3,33000000027331",78653,"0,00001","0,0004299316921173","-0,02513963","-0,0004053703"
FASING,38840613,8731,3107249,"12,500000160914",5298,"0,0028098810233746","0,0017050452023638","-0,072185904","0,046137936"
ALUMETAL,1280448105,1563,15634287,"81,8999999808114",17844,"0,0001","0,0011413376254382","0,016914941","-0,043470893"
CEZ,110395498547,10447766,537989759,"205,200000000372",0,"0,0194200090712135",0,"-0,03338445","0,0057155997"
CRI,293452920,198,1982790,148,56362,"0,0000999","0,0284256023078591","-0,08412848","0,056429956"
PGV,105523359,87668,100498437,"1,05000000149256",11588,"0,0008723319746753","0,0001153052758422","-0,016400421","-0,014774494"
LRK,2394713,166033,15964750,"0,150000031319",12975,"0,0103999749448002","0,0008127280414663","-0,028576296","-0,0046611154"
UNIMA-2000,15318800,2735,2735500,"5,6",13417,"0,0009998172180588","0,0049047706086638","-0,022611158","-0,0116296755"
B24,57198933,221,2208453,"25,9000001358417",7831,"0,0001000700490343","0,0035459210587682","-0,03850979","0,001216366"
EUROTEL,298361098,750,3748255,"79,6",46621,"0,0002000931099938","0,012438054508031","-0,025545295","-0,012129317"
INDYGOTECH-MINERALS,4132297,8265,16529188,"0,25",61022,"0,00050002456261","0,0036917723968049","-0,031393707","-0,009585043"
MLS,363117608,6484,6484243,56,91239,"0,0009999625245383","0,0140708792067169","-0,032878038","-0,008732955"
TARCZYNSKI,510612120,11347,11346936,45,37525,"0,0010000056402891","0,0033070601614391","0,019503701","-0,062183473"
TALEX,45001380,3000,3000092,15,46337,"0,0009999693342737","0,0154451930140809","0,0027622557","-0,045563728"
EMA,203511294,600,6003283,"33,9000000499727",118314,"0,0000999","0,0197082163209697","0,025204241","-0,06980156"
POLWAX,87138000,1545,30900000,"2,82",84457,"0,00005","0,0027332362459546","-0,011745553","-0,03299322"
BIOMED-LUBLIN,365354132,6526,70260410,"5,2",95034,"0,0000929","0,0013525967184079","0,06724011","-0,11397404"
EMC,397887802,165787,41446646,"9,60000000965096",75387,"0,0040000100370003","0,0018188926553912","-0,022611158","-0,025572691"
WIRTUALNA-POLSKA,2908602059,1464,29291058,"99,299999986344",327763,"0,00005","0,0111898655214161","-0,02311468","-0,025926804"
WOJAS,106990994,12677,12676658,"8,44000003786487",71731,"0,0010000269787194","0,0056585103108406","-0,0220777","-0,02952027"
CDL,113219973,3027,6054544,"18,700000033033",88061,"0,0004999550750642","0,0145446131038109","-0,011604558","-0,040782817"
