,capitalization,core_capital,number_of_shares,price,supplementary_capital,core_capital_per_share,supplementary_capital_per_share,small_pred,large_pred
FORTE,670061532,23931,23930769,28,114556,"0,0010000096528448","0,0047869752952778","-0,2661149","-0,22140257"
POLIMEX,1028778473,478238,240368802,"4,28000000183052",300758,"0,001989600963273","0,0012512355908817","-0,31004995","-0,17879306"
MGT,681039108,1335,6676854,102,164211,"0,0001999444648632","0,0245940678049872","-0,27386048","-0,21737982"
KOGENERACJA,396340000,252503,14900000,"26,6",251258,"0,016946510067114","0,0168629530201342","-0,31205615","-0,20136696"
ORANGE,8826916404,3937000,1312357479,"6,72600000018745",832000,"0,0029999448039111","0,0006339736034681","-0,32662714","-0,19453436"
KRUK,5842001903,19139,19318790,"302,399990009726",358506,"0,0009906935165194","0,0185573734172792","-0,29540575","-0,22778222"
ANR,523946947,867,17494055,"29,9499999857094",152115,"0,0000496","0,0086952396113994","-0,3113821","-0,21261713"
ALL,252052282,3707,12355504,"20,4000000323742",38412,"0,0003000282303336","0,0031088978644659","-0,26047978","-0,27538055"
NEWAG,846000019,11250,45000001,"18,8000000044445",0,"0,0002499999944444",0,"-0,28220707","-0,25877964"
BENEFIT-SYSTEMS,3256231620,2934,2933542,1110,291378,"0,0010001561252574","0,099326343376028","-0,22367293","-0,33501837"
PEKABEX,405913471,24827,24826512,"16,3499999919441",25245,"0,001000019656406","0,001016856495991","-0,18866576","-0,38430083"
EUROHOLD-BULGARIA,943010000,624653,260500000,"3,62",345370,"0,0023979001919385","0,0013257965451055","-0,28007567","-0,29525527"
OND,734100200,1101,55030000,"13,34",255580,"0,00002","0,0046443757950208","-0,30506033","-0,2721568"
FAST-FINANCE,943750,1000,1250000,"0,755",74426,"0,0008","0,0595408","-0,30653378","-0,27657235"
AGROTON,71511000,2049,21670000,"3,3",274414,"0,0000946","0,0126633133364097","-0,29457766","-0,28991324"
RAINBOW-TOURS,416187200,1455,14552000,"28,6",36558,"0,0001","0,0025122319956019","-0,26152977","-0,34334403"
SPR,627894144,109,1090094,576,630,"0,0001","0,000577931811385","-0,17831846","-0,4362485"
PCO,23747500000,9,575000000,"41,3",0,"0,0000000157",0,"-0,2725514","-0,3520648"
